,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,description
0,201912291202116-1-P0E3HYNQLVVPDW,浮生尽,2500.0,3000.0,备战区,4,7,427,"缺少,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑马超,骑徐庶"
0,201911021802116-1-EHL8RFBA3PXNF9,三国闲人,750.0,800.0,备战区,63,4,151,"缺少,弓张机,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,骑徐庶"
0,202001251802116-1-ELMFR9JW9HP1DQ,夜笙,1200.0,2400.0,征服赛季,2,3,281,"缺少,步刘备,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001251702116-1-W1BQPU9VK2VHD8,恩赐解脱,650.0,700.0,备战区,10,4,201,"缺少,弓张机,弓吕蒙,骑曹操,步皇甫嵩,步董卓,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001201202116-1-752H4B6QVIZ7F6,大道之行也,1299.0,1299.0,备战区,4,3,277,"缺少,弓张机,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001241202116-1-GTFAQ2XZAJYSTV,夜丨首都航空,1600.0,1888.0,备战区,0,4,227,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步貂蝉,弓诸葛亮,骑徐庶"
0,202001241102116-1-5UWTUA3QPDH1ZA,故宫,200.0,200.0,备战区,0,0,84,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001221302116-1-7W0PUKRSGPDSUG,摸仙堡,400.0,400.0,备战区,12,4,169,"缺少,弓张机,弓吕蒙,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,弓诸葛亮,骑徐庶"
0,201912151602116-1-IHWHTJLIRYSGL2,钉磊,1200.0,1800.0,备战区,86,4,301,"缺少,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,步貂蝉,弓诸葛亮,骑徐庶"
0,201911020802116-1-XOA127NVLBSVUL,天下息兵,200.0,200.0,备战区,2,1,105,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,201911092302116-1-KACPLX72MGUQAF,龍I刘备,260.0,300.0,备战区,5,4,159,"缺少,步刘备,弓张机,弓吕蒙,步皇甫嵩,弓吕布,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201905191602116-1-F9WROPLDY7EWF1,龙渊丶北君,2200.0,4700.0,备战区,0,6,306,"缺少,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑马超,步貂蝉,骑徐庶"
0,202001062102116-1-A2OEAXSEDIKBE9,剑剑,333.0,388.0,征服赛季,1,1,139,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201912271902116-1-EPDS4MR1CGGWJ2,侠客行丨辰龙,2300.0,3500.0,备战区,3,9,346,"缺少,步刘备,步皇甫嵩,弓吕布,骑马超"
0,202001251002116-1-AGPCUDSHU9XOR9,枕刀听风,2499.0,2699.0,备战区,4,8,363,"缺少,弓孙权,步皇甫嵩,弓吕布,骑马超,步貂蝉"
0,202001250802116-1-EEOVYM3W7XYYZL,肥套,2500.0,2500.0,备战区,12,9,410,"缺少,弓张机,步皇甫嵩,骑张辽,步貂蝉"
0,201912161402116-1-PBHCDUOIG32NZU,晚上给俺留门,3000.0,3999.0,征服赛季,24,8,253,"缺少,步皇甫嵩,步董卓,骑马超,骑张辽,弓诸葛亮"
0,201912231802116-1-ZNFEBD8DXGIBEC,卧虎藏龙,1000.0,1500.0,备战区,1,3,221,"缺少,步刘备,弓张机,弓孙权,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,骑徐庶"
0,202001211602116-1-V7UV6YDGZCE9UY,叶遮天,400.0,800.0,备战区,0,1,120,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,201912271202116-1-SHIFFAQGAGK1DG,水丨崂山矿泉,1599.0,1650.0,征服赛季,39,7,329,"缺少,弓孙权,骑曹操,步皇甫嵩,骑马超,步貂蝉,骑徐庶"
0,202001241402116-1-ROSKBJZ49VVU1R,惡丶颖川五少,2000.0,2000.0,征服赛季,0,5,133,"缺少,弓张机,弓吕蒙,骑曹操,步皇甫嵩,步董卓,弓吕布,骑张辽,步貂蝉"
0,202001242302116-1-E5BZDNZZTQ6MFA,满天星ii,1700.0,1800.0,备战区,4,5,308,"缺少,弓孙权,步皇甫嵩,步董卓,弓吕布,骑马超,步貂蝉,弓诸葛亮,骑徐庶"
0,202001231902116-1-OYUJYELSI1LEFW,嘉兴右骁卫,299.0,400.0,备战区,0,0,109,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001250202116-1-YITOQPVYF4IXJV,梦丨十二卫,1000.0,1500.0,备战区,2,5,215,"缺少,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,骑张辽,步貂蝉,弓诸葛亮"
0,202001241602116-1-6TJ1Q2MEDUUSNI,吉祥物丶乔巴,1600.0,2000.0,备战区,0,6,291,"缺少,弓张机,弓吕蒙,骑曹操,步皇甫嵩,步貂蝉,弓诸葛亮,骑徐庶"
0,201911011502116-1-6YTZBEM1MX40K0,人不犯我犯人,200.0,300.0,备战区,4,0,112,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201903261402116-1-L4RFI5QHCCIHD6,蒙奇丶D丶龙,2700.0,2800.0,备战区,61,7,292,"缺少,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮"
0,202001081302116-1-CTDDPCQ8JUP8TA,我不是艾行天,200.0,200.0,备战区,9,0,124,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201912241002116-1-IVQQU1BUYYOYKW,地势坤,1750.0,2000.0,备战区,18,6,347,"缺少,步刘备,弓张机,弓吕蒙,步皇甫嵩,步董卓,骑马超,弓诸葛亮"
0,202001081902116-1-TMVF3OOSRHQ63L,凉字王骑,766.0,800.0,征服赛季,6,3,231,"缺少,弓张机,弓孙权,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201911151702116-1-PHWMED0EVQUOFH,兵丨玛法里奥,200.0,220.0,备战区,9,1,94,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,201911211002116-1-CNY0MQOXSIH99Z,風丨我橙子呀,2399.0,2890.0,备战区,9,8,343,"缺少,步皇甫嵩,弓吕布,骑张辽,步貂蝉,弓诸葛亮"
0,202001211602116-1-HEA18PXH0VCAPJ,新城,300.0,300.0,备战区,8,1,137,"缺少,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮,骑徐庶"
0,202001242102116-1-UGQQOQXR8LCRXY,张掖散骑,700.0,800.0,备战区,1,4,130,"缺少,弓张机,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,弓诸葛亮,骑徐庶"
0,201912261502116-1-YGM7RBGARDL67D,黎阳铁鹰军,899.0,1200.0,征服赛季,20,4,285,"缺少,步刘备,弓张机,弓孙权,骑曹操,步皇甫嵩,弓吕布,步貂蝉,弓诸葛亮,骑徐庶"
0,202001250002116-1-SLL6EUOTPVWWDZ,馬騳骉,1100.0,1100.0,备战区,6,3,279,"缺少,步刘备,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑张辽,步貂蝉,弓诸葛亮"
0,202001091202116-1-RYZQDPV9ZFZJGT,血衣灬微笑,3288.0,5999.0,征服赛季,8,7,546,"缺少,步刘备,骑曹操,步董卓,弓吕布,步貂蝉,弓诸葛亮"
0,202001250802116-1-AZJOSSBCKZ2LEZ,金木水火土,1300.0,1600.0,备战区,6,6,266,"缺少,弓吕蒙,步皇甫嵩,步董卓,弓吕布,步貂蝉,弓诸葛亮,骑徐庶"
0,201912302302116-1-GLNSXOYG5RWGMO,洗头战神,760.0,1200.0,备战区,24,6,287,"缺少,弓张机,弓吕蒙,骑曹操,步皇甫嵩,弓吕布,骑张辽,骑徐庶"
0,201912301202116-1-AOAP064KJRIHKE,公生,1456.0,1299.0,备战区,4,6,337,"缺少,步刘备,步皇甫嵩,步董卓,弓吕布,骑张辽,步貂蝉,弓诸葛亮"
0,202001250002116-1-DM66XLJAX7RFDQ,逍遥丨青锋,1689.0,1989.0,备战区,3,9,328,"缺少,步刘备,步皇甫嵩,步貂蝉,骑徐庶"
0,202001241202116-1-CWXKJ0H4EWBTHV,斩阵,200.0,200.0,备战区,0,1,119,"缺少,步刘备,弓张机,弓吕蒙,弓孙权,骑曹操,步皇甫嵩,步董卓,弓吕布,骑马超,骑张辽,步貂蝉,弓诸葛亮"
