,seller_roleid,seller_name,price,first_onsale_price,area_name,collect_num,key_num,general_value,skill_value
0,202001111902116-1-JZAQ8KEYEPDZUS,忠義,538.0,599.0,备战区,10,4,153,1
0,202001260002116-1-D7AOPOZ1KEPW9T,大紫瞑宫,590.0,609.0,备战区,1,4,133,1
0,201911141902116-1-RL9EVHCXMN9UO6,佛屠丨桃花红,761.0,750.0,备战区,41,4,178,1
0,202001121902116-1-TOEK2DY2ATTVBD,伤心小刀,500.0,500.0,备战区,27,3,122,1
0,202001281902116-1-DEVRRXJMHGLYW2,舍利子,950.0,950.0,征服赛季,7,6,168,1
0,202001281102116-1-XFPJR8COOIEOQE,你好丨妖怪,2500.0,2500.0,备战区,4,8,337,1
0,202001242202116-1-VKYM5WZT4MIZPW,临驹带甲,1999.0,1999.0,备战区,0,3,164,1
0,202001121102116-1-T1GGYOHEWPNWDA,上古情歌,1699.0,1998.0,备战区,4,6,283,1
0,202001272302116-1-DXBR66RE9GPGQB,白酱紫,1850.0,1850.0,备战区,12,7,275,1
0,202001282002116-1-36ALWSKYXOWQEQ,冬藏,1468.0,1500.0,征服赛季,0,4,135,1
0,201912272302116-1-YMPQEPCYWEDTFA,平安十九弓,500.0,500.0,备战区,5,2,137,1
0,202001190302116-1-TJNWWDGMQNNRQA,纪丶虫Ma,2599.0,4700.0,征服赛季,14,8,295,1
0,202001141402116-1-BUGTOADSZTSVXX,襄阳虎豹骑,1799.0,2499.0,征服赛季,1,6,235,1
0,202001122202116-1-LTSD8QYPRDPDF3,柒月灭世,400.0,500.0,征服赛季,7,3,108,1
0,202001141902116-1-0YJ670NBBJWMUO,陕郡甲兵,1499.0,1999.0,征服赛季,0,5,197,1
0,202001031902116-1-0UCF6M1Q2Q3EB4,维生素z,600.0,1200.0,备战区,29,4,192,1
0,201911301902116-1-HNARMDW45UDYAX,十三保,800.0,1000.0,备战区,12,4,235,1
0,201912271702116-1-3AFESRJ3ZAWS5N,沂叶青衫,600.0,1500.0,备战区,11,4,158,1
0,202001281002116-1-ODMT3CAVPGZRBE,孤舟箬笠翁,550.0,350.0,备战区,5,4,157,1
0,202001271302116-1-RXYSSVENZ17ZUC,L爱吃拉面呀,1000.0,1500.0,征服赛季,2,6,167,1
0,201912040002116-1-SMBWRFQT4MV39F,彪哥杠杠滴,700.0,888.0,备战区,21,4,174,1
0,202001281402116-1-GXNM2GMY25LWHQ,没用的阿巴,1200.0,1200.0,备战区,2,7,215,1
0,202001281402116-1-0AER5EY7AE4URM,宿醉丨冰茶,450.0,450.0,征服赛季,14,7,166,1
0,202001261302116-1-WHFVFHNOMJSBGN,君丨疾风,2500.0,2500.0,备战区,1,8,259,1
0,201910141502116-1-KXUA02VGQPI9AG,大仙,200.0,220.0,备战区,3,1,90,1
0,202001271702116-1-GNNBDQPWFXDKJ5,从来不忍,999.0,999.0,征服赛季,0,6,146,1
0,201908281602116-1-F6KXHQ72TYPRUX,创世柏豪,900.0,1500.0,备战区,100,7,199,1
0,202001280902116-1-NU01U5QUXWCHY9,仙丨暖雪,240.0,280.0,征服赛季,2,2,104,1
0,202001271602116-1-N17P7IPXMHAAUA,雲丶三藏,200.0,200.0,征服赛季,1,0,109,1
0,202001121902116-1-LFDEIGQOFDR5WZ,莫大,2866.0,2999.0,征服赛季,9,7,281,1
0,202001071902116-1-PXD02VVMEKUO0A,画江湖夜神,3300.0,3950.0,征服赛季,8,10,301,1
0,201912190202116-1-EAF1NVZJZ5HAUM,我们一起努力,666.0,888.0,备战区,13,4,138,1
0,201911300202116-1-K8LZJJKGLNU05R,花步争,500.0,500.0,备战区,6,2,126,1
0,201912171002116-1-NFSWDJLN68HSFQ,周不在,1000.0,1000.0,备战区,3,8,228,1
0,202001271902116-1-EJ085STOZLBJ6U,三只老鼠阿,350.0,350.0,备战区,2,4,144,1
0,201911201902116-1-YEZHGNO3Z01ZDZ,巨炮叔叔,1678.0,3898.0,备战区,9,6,265,1
0,202001280902116-1-35IQ2RH9EX9SSE,黄金狮子团,3300.0,3300.0,征服赛季,9,8,360,1
0,202001230202116-1-UFVUKGX91RJ0AG,扑克丶黑桃7,3800.0,5000.0,征服赛季,8,9,350,1
0,202001261102116-1-QF9GIML9SLWHWU,神机丨定,1299.0,1300.0,征服赛季,10,6,173,1
0,201912291502116-1-HTBVLZVX5OBCS0,烽火戏诸君,900.0,1111.0,备战区,51,6,210,1
0,201910161702116-1-2RIJQ6FYHME6FX,巡山画沙,2688.0,5000.0,备战区,10,8,250,1
0,201910111402116-1-QCM93GIZJCQVK7,天使的守护,200.0,200.0,备战区,3,0,65,1
0,202001281402116-1-0JAHVOIQYAAPLJ,无牙锦李,380.0,380.0,备战区,0,4,111,1
0,201912141902116-1-LUKIXSPAFUG6RT,烽火灬小骚,200.0,200.0,备战区,0,2,70,1
0,201911191602116-1-HELCAPSDMFIH5J,游啊神啊,700.0,1000.0,备战区,8,5,187,1
0,202001280102116-1-U8SOAUWVZUJ0ZB,逍遥丨柒梦,432.0,432.0,备战区,1,1,84,1
0,201912271502116-1-ZRLAHR9X4IITYA,袍哥丶骑马跑,1600.0,2500.0,备战区,7,6,211,1
0,202001111002116-1-YKEFQ1HAI6FXJE,懵懵哒大懵懵,200.0,220.0,征服赛季,0,1,116,1
0,201910171102116-1-AGIHHAQCRVI8ZC,星耀丨骠骑,3600.0,5000.0,备战区,2,8,385,1
0,201909271202116-1-HAEOMJICKYB97P,義丶薄雲天,350.0,888.0,备战区,29,3,109,1
0,202001101802116-1-YTFXWECUE23UL9,壹麓,2000.0,2500.0,征服赛季,3,10,211,1
0,202001101802116-1-YTFXWECUE23UL9,壹麓,2000.0,2500.0,征服赛季,3,10,211,1
0,202001261902116-1-T4ZGFNWRJ2ZCHB,NGA月半,777.0,958.0,征服赛季,4,6,191,1
0,201912231502116-1-MDEOTPAPE1TEKD,长歌丨九言,278.0,300.0,备战区,10,2,110,1
0,201912082202116-1-VWRRXFH5AW8LOT,坏孩子的善良,1100.0,1500.0,征服赛季,9,4,149,1
0,202001122002116-1-7EK9ZHIFE0JJRT,公爵大人,1600.0,2500.0,征服赛季,6,5,266,1
0,202001250002116-1-4LTYUF1VPTLC8A,刀剑春秋,2666.0,2666.0,征服赛季,4,5,316,1
0,201911151502116-1-GEBUNOD3FG3VAX,阿夸崩,2509.0,3530.0,备战区,1,6,258,1
0,202001210802116-1-QR120WIIIZARUK,花无缺丶,980.0,1199.0,备战区,8,5,201,1
0,202001101302116-1-8BSWPEK5JND68V,骁弛,433.0,588.0,备战区,7,4,120,1
0,202001271902116-1-8I3RC4DQG1XKOW,晚点喝可乐,499.0,699.0,征服赛季,0,2,75,1
0,202001281102116-1-5THRY1AZXJGWGL,尊丨圣武枪魂,545.0,666.0,征服赛季,10,5,118,1
0,202001270902116-1-Y3CIUYLCEAZAJL,血战丨极限,1200.0,1200.0,征服赛季,2,8,240,1
0,202001121502116-1-32V9JPQGFITW0U,汤小静哦,450.0,600.0,征服赛季,1,3,122,1
0,201912240902116-1-2NXRGVIQQNHWP9,幻彩羽翼,233.0,300.0,备战区,2,1,80,1
0,202001111302116-1-AL0G9TURRQOQNJ,魏丨絮忆,500.0,666.0,备战区,6,2,148,1
0,202001271602116-1-GUFRABLVP9582B,净丶泥煤,3800.0,3800.0,征服赛季,1,6,261,1
0,202001221802116-1-435GUQC093NMUY,珏丨红桃贰,1200.0,1200.0,备战区,1,6,244,1
0,202001132202116-1-WDAC4AUUNBX2AV,妖丶提拉米苏,1890.0,1900.0,征服赛季,6,5,243,1
0,202001271402116-1-FMOKCZFTO5JWHY,小呆呆,1100.0,1100.0,征服赛季,0,5,196,1
0,202001262002116-1-FORQBUIWAFICHO,雲揚布衣候,1588.0,1588.0,备战区,0,7,175,1
0,202001280702116-1-YXLWTXIL8OTGVW,硬汉兄弟,3600.0,3600.0,征服赛季,10,7,315,1
0,201909222202116-1-WMEJ39OQPFX3RG,飐丨七月,3799.0,5888.0,备战区,56,7,321,1
0,202001280802116-1-3RQRZXDL3PNGFX,封神丶柒,2666.0,2888.0,征服赛季,3,7,307,1
0,202001022302116-1-GMJM4AGQU1C5PK,小绿帽,1050.0,1600.0,备战区,11,4,211,1
0,202001192302116-1-RDUMPHBU7UTHRN,威猛的南瓜,400.0,200.0,征服赛季,0,4,130,1
0,202001121602116-1-5JXO1LIBBERCHU,永恒国度,999.0,3000.0,备战区,1,4,170,1
0,202001272302116-1-AUC7QRISSPJ8OM,重名了解下,1800.0,1800.0,征服赛季,6,5,286,1
0,202001101902116-1-FQHFCUGSBB4LYE,姑臧玄甲军,1000.0,1000.0,备战区,0,2,128,1
0,202001280702116-1-ZNOHYKF7JWVQRV,北尽丨东西,704.35,704.35,征服赛季,0,4,125,1
0,202001221402116-1-21W7Q0UCVVQK1D,周文正公小号,2200.0,2400.0,征服赛季,3,8,319,1
0,202001230802116-1-HKAJTPQVH2MJX8,夜阑丶奇謀,2000.0,2099.0,备战区,14,7,324,1
0,202001120802116-1-OTHKNDOGCCSLIW,樂丨遺莣,200.0,200.0,备战区,3,1,104,1
0,202001271202116-1-LJFRVELUEYY9VY,道道道非常道,800.0,888.0,备战区,8,7,190,1
0,202001252302116-1-CQSQEO56L6BXIK,丶熊猫,1200.0,1500.0,征服赛季,0,5,300,1
0,202001271602116-1-BMPPBXEBD80W1Y,萌王,200.0,200.0,备战区,0,0,39,1
0,202001101502116-1-QCJHSWDKOOIHB2,笔尖微凉,1000.0,1500.0,备战区,3,6,203,1
0,202001272002116-1-NYOFEHVV82MNBI,赢兵赋予,499.0,499.0,备战区,6,4,145,1
